fighter_id,career_fights,career_wins,career_losses,career_win_rate,career_finish_rate,career_avg_sig_str_landed,career_avg_sig_str_att,career_avg_takedowns_landed,career_avg_takedowns_att,career_avg_sub_att,career_avg_control_time_sec,career_win_streak,recent_win_rate_3,recent_finish_rate_3,last_fight_date,last_division,is_debut,elo,name,dob,height_in,reach_in,reach_imputed,pro_wins,pro_losses,pro_draws
001eb2ab0f30e7ea,1,0,1,0.0,0.0,14.0,36.0,0.0,3.0,0.0,83.0,0,0.0,0.0,2025-06-07,Lightweight,0,1485.3518387770364,Mark Choinski,1995-10-22,68.0,69.0,False,8.0,1.0,0.0
002ca196477ce572,2,0,2,0.0,0.0,14.5,43.0,1.0,2.5,0.0,77.0,0,0.0,0.0,2020-02-29,Bantamweight,0,1469.6699825202725,Gabriel Silva,1994-08-26,66.0,71.0,False,8.0,2.0,0.0
003d82fa384ca1d0,2,0,2,0.0,0.0,1.0,7.5,0.0,1.5,0.0,8.0,0,0.0,0.0,2021-03-06,Lightweight,0,1468.736306793522,Aalon Cruz,1989-09-20,72.0,78.0,False,8.0,4.0,0.0
0052de90691d4a93,7,4,3,0.5714285714285714,0.75,9.285714285714286,27.142857142857142,0.5714285714285714,1.1428571428571428,0.2857142857142857,58.142857142857146,0,0.3333333333333333,0.0,2020-07-18,Lightweight,0,1519.604368317895,Davi Ramos,1986-11-05,66.0,70.0,False,10.0,4.0,0.0
008dc37cca279def,3,1,2,0.3333333333333333,1.0,2.6666666666666665,6.0,0.6666666666666666,1.3333333333333333,1.3333333333333333,82.0,0,0.3333333333333333,0.3333333333333333,2011-03-26,Heavyweight,0,1483.998942597007,Sean McCorkle,1976-07-17,79.0,81.0,False,17.0,7.0,0.0
008ea710276c9606,3,3,0,1.0,0.3333333333333333,20.666666666666668,36.666666666666664,0.0,0.0,0.0,74.66666666666667,3,1.0,0.3333333333333333,2022-06-04,Flyweight,0,1544.3996407417023,Jeff Molina,1997-07-17,66.0,69.0,False,11.0,2.0,0.0
009341ed974bad72,9,6,3,0.6666666666666666,1.0,19.666666666666668,38.888888888888886,0.1111111111111111,0.2222222222222222,0.0,26.666666666666668,0,0.6666666666666666,0.6666666666666666,2026-04-11,Light Heavyweight,0,1565.801492160941,Jiri Prochazka,1992-10-14,75.0,80.0,False,32.0,6.0,1.0
009c4420727149ea,4,1,3,0.25,0.0,26.25,55.5,0.75,0.75,0.0,33.0,0,0.3333333333333333,0.0,2024-03-23,Middleweight,0,1470.7933024474141,AJ Dobson,1992-01-18,73.0,76.0,False,7.0,3.0,0.0
00a3ff40c4b2cf21,3,1,2,0.3333333333333333,1.0,11.333333333333334,22.666666666666668,2.0,2.6666666666666665,0.0,128.66666666666666,0,0.3333333333333333,0.3333333333333333,2016-09-24,Lightweight,0,1486.0279709865424,Glaico Franca Moreira,1991-02-28,72.0,77.0,False,15.0,5.0,0.0
00debc804e2b1cd4,5,2,3,0.4,1.0,8.4,13.2,1.4,2.2,0.2,60.8,0,0.0,0.0,2015-05-09,Middleweight,0,1480.0209990229,Dylan Andrews,1979-11-15,73.0,74.0,False,18.0,7.0,0.0
00e11b5c8b7bfeeb,11,6,5,0.5454545454545454,1.0,11.727272727272727,22.90909090909091,0.18181818181818182,1.0,0.36363636363636365,51.45454545454545,0,0.0,0.0,2022-08-20,Middleweight,0,1535.533743182432,Luke Rockhold,1984-10-17,75.0,77.0,False,16.0,6.0,0.0
010986ee359fb863,3,1,2,0.3333333333333333,1.0,7.666666666666667,26.0,1.0,2.0,0.0,74.33333333333333,0,0.3333333333333333,0.3333333333333333,2010-08-28,Middleweight,0,1484.7889096519507,John Salter,1985-03-21,73.0,74.0,False,14.0,3.0,0.0
0112352cb32f5026,6,1,5,0.16666666666666666,1.0,9.833333333333334,28.833333333333332,0.16666666666666666,0.6666666666666666,0.0,5.0,0,0.0,0.0,2024-08-03,Middleweight,0,1443.9066471282142,Denis Tiuliulin,1988-05-17,73.0,77.0,False,10.0,10.0,0.0
013da757877044a2,2,0,2,0.0,0.0,9.5,32.5,0.0,0.0,0.0,3.5,0,0.0,0.0,2010-05-29,Lightweight,0,1468.4074743873055,Joe Brammer,1983-08-23,68.0,69.6361438922572,True,7.0,3.0,1.0
01641ba5df0c69b0,8,7,1,0.875,0.5714285714285714,15.5,33.75,0.875,1.125,0.375,42.625,5,1.0,0.3333333333333333,2026-06-06,Welterweight,0,1605.4756866391156,Gabriel Bonfim,1997-08-20,73.0,72.0,False,20.0,1.0,0.0
016a8d958883167c,8,2,6,0.25,0.5,13.75,27.875,0.75,1.5,0.0,77.75,0,0.3333333333333333,0.3333333333333333,2022-04-30,Women's Flyweight,0,1442.056696970271,Gina Mazany,1988-08-19,66.0,68.0,False,7.0,6.0,0.0
01784fbc27c68b14,4,1,3,0.25,1.0,10.25,27.0,1.0,1.0,0.25,11.25,0,0.0,0.0,2020-11-28,Women's Flyweight,0,1467.1682807531354,Rachael Ostovich,1991-02-25,63.0,62.0,False,4.0,6.0,0.0
01afe0916a40c7c5,7,7,0,1.0,0.8571428571428571,15.0,25.571428571428573,0.42857142857142855,1.8571428571428572,0.14285714285714285,137.71428571428572,7,1.0,0.6666666666666666,2024-12-07,Welterweight,0,1623.8565330823712,Shavkat Rakhmonov,1994-10-23,73.0,77.0,False,19.0,0.0,0.0
01b352b6a9074d5c,15,4,11,0.26666666666666666,0.75,23.6,54.6,0.06666666666666667,0.06666666666666667,0.0,7.2,0,0.3333333333333333,0.3333333333333333,2023-05-13,Heavyweight,0,1414.8190878944267,Chase Sherman,1989-11-16,76.0,78.0,False,16.0,12.0,0.0
